shortCode,hashtags,timestamp
DLirCqttksn,"chanel,gucci,fendi,عطور,louis_vuitton,LV,شانيل,ساعه,apm_monaco,سامبا,كاروليناهيريرا,سواتش,دكني,هرمز,عطر,‏ch,coach,lv,نضارات,D1,KarolinaHerrera,Tiffany,ماركات,لابوبو,لونق_شامب,كوتش,ترند",2025-06-30T22:30:19.000Z
DLirBzqNOrV,Fendi,2025-06-30T22:30:12.000Z
DLiq7G_taBD,"chanel,gucci,fendi,عطور,louis_vuitton,LV,شانيل,ساعه,apm_monaco,سامبا,كاروليناهيريرا,سواتش,دكني,هرمز,عطر,‏ch,coach,lv,نضارات,D1,KarolinaHerrera,Tiffany,ماركات,لابوبو,لونق_شامب,كوتش,ترند",2025-06-30T22:29:17.000Z
DLiq4MANk4k,"chanel,gucci,fendi,عطور,louis_vuitton,LV,شانيل,ساعه,apm_monaco,سامبا,كاروليناهيريرا,سواتش,دكني,هرمز,عطر,‏ch,coach,lv,نضارات,D1,KarolinaHerrera,Tiffany,ماركات,لابوبو,لونق_شامب,كوتش,ترند",2025-06-30T22:28:53.000Z
DLiqyu5IuUy,"hermes,birkin,chanel,gucci,hermeskelly,hermesbirkin,louisvuitton,dior,hermesbag,abuja,fashion,hermeslover,prada,luxury,lagos,fendi,balenciaga,hermesaddict,ysl,kaduna,ootd,style,herm,bag,hermesparis,hermesconstance,kano,versace,celine,hermesbags",2025-06-30T22:28:08.000Z
DLiqxAZodJ4,"hermes,birkin,chanel,gucci,hermeskelly,hermesbirkin,louisvuitton,dior,hermesbag,abuja,fashion,hermeslover,prada,luxury,lagos,fendi,balenciaga,hermesaddict,ysl,kaduna,ootd,style,herm,bag,hermesparis,hermesconstance,kano,versace,celine,hermesbags",2025-06-30T22:27:54.000Z
DLiqviNou0W,"hermes,birkin,chanel,gucci,hermeskelly,hermesbirkin,louisvuitton,dior,hermesbag,abuja,fashion,hermeslover,prada,luxury,lagos,fendi,balenciaga,hermesaddict,ysl,kaduna,ootd,style,herm,bag,hermesparis,hermesconstance,kano,versace,celine,hermesbags",2025-06-30T22:27:42.000Z
DLiqtjoopun,"hermes,birkin,chanel,gucci,hermeskelly,hermesbirkin,louisvuitton,dior,hermesbag,abuja,fashion,hermeslover,prada,luxury,lagos,fendi,balenciaga,hermesaddict,ysl,kaduna,ootd,style,herm,bag,hermesparis,hermesconstance,kano,versace,celine,hermesbags",2025-06-30T22:27:26.000Z
DLiqYgNSVFA,"fendi,G5",2025-06-30T22:24:33.000Z
DLipvUqSov_,"Prada,Gucci,DolceGabbana,versace,fendi,Lima,Peru,optica,gafas,lentesdesol,accesorios,moda,estilo,lujo,sanisidro,vintage,compras,ofertas,regalos,prendas,comprayventa",2025-06-30T22:18:56.000Z
DLipaNcIlZo,"FENDI,FendiBag,FendiLover,FendiStyle,FendiAddict,FendiFashion,FendiVibes,FendiItBag,FendiObsessed,FendiCrush,LuxuryBag,DesignerBag,LuxuryFashion,HighFashion,FashionLovers,LuxuryLifestyle,StyleGoals,ChicStyle,RunwayReady,GlamStyle,OOTD,BagLover,BagAddict,WhatIWore,FashionDaily,StyleInspo,WardrobeGoals,FashionBlogger,FashionInspo,BagGoals",2025-06-30T22:16:03.000Z
DLioTweJ511,"artist,art,artistic,design,fashion,gucci,dior,burberry,versace,blackwhiteclothing,puregrey,photography,fendi,bape,supreme,supremenewyork,luxurybrand,artistsoftiktok,prada,representclo",2025-06-30T22:06:26.000Z
DLinkRnoarL,"luoisvuitton,prada,burberry,raybansunglasses,fendi,celine,chanel",2025-06-30T21:59:57.000Z
DLimfKjIlwz,"Fendi,Gucci,LuxuryFashion,AIAnna,VirtualMuse,DigitalCouture,LuxuryStyle,HighFashion,AIStyling,DigitalItGirl,FashionVisionary,FutureOfFashion,StyleInspo,FashionEditorial,RunwayReady,VogueVibes,ChicAndDigital,LuxuryWardrobe",2025-06-30T21:50:31.000Z
DLimBYMTP7f,"目黒蓮,meguroren,fendi,snowman,目黒担,オタ活",2025-06-30T21:46:27.000Z
DLimAvKz8MI,"目黒蓮,meguroren,fendi,snowman,目黒担,オタ活",2025-06-30T21:46:21.000Z
DLil8vloken,"followersreelsfypシ゚viralシfypシ゚viralシalシ,style,shoes,fashion,fendi",2025-06-30T21:45:49.000Z
